other1,other2,other3,other4,other5,other6,name,interior_lon,interior_lat,euler_lon,euler_lon_sig,euler_lat,euler_lat_sig,rotation_rate,rotation_rate_sig,rotation_flag,apriori_flag,strain_rate,strain_rate_sig,strain_rate_flag,area_steradians,area_plate_carree,block_label,euler_lon_err,euler_lat_err,euler_rate,euler_rate_err
0,0,0,0,0,0,ele60,241.1770,44.4550,229.7417,0.6090,42.4123,0.4690,0.2290,0.0120,0,0,0,0,0,-1.0000,-1.0000,0,0.0000,0.0000,0.2624,0.0000
0,0,0,0,0,0,ele29,239.3680,39.0460,67.9803,1.5790,-46.0490,1.1210,0.2340,0.0120,0,0,0,0,0,-1.0000,-1.0000,1,0.0000,0.0000,0.5650,0.0000
0,0,0,0,0,0,ele05,242.5180,34.7870,62.1816,4.6840,-34.9697,2.7780,0.2430,0.0120,0,0,0,0,0,-1.0000,-1.0000,2,0.0000,0.0000,22.8592,0.0000
0,0,0,0,0,0,newblock18,241.7300,34.5270,62.1448,2.8510,-35.2205,1.7500,0.3950,0.0120,0,0,0,0,0,-1.0000,-1.0000,3,0.0000,0.0000,42.6681,0.0000
0,0,0,0,0,0,New Block,241.6232,34.3078,61.5938,0.0000,-34.2444,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,4,0.0000,0.0000,419.1873,0.0000
0,0,0,0,0,0,New Block,241.1632,34.3373,239.7221,0.0000,34.3519,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,5,0.0000,0.0000,20.1717,0.0000
0,0,0,0,0,0,New Block,238.6709,36.8288,59.3953,0.0000,-37.5072,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,6,0.0000,0.0000,8.7890,0.0000
0,0,0,0,0,0,New Block,238.6874,36.7232,58.7316,0.0000,-36.9894,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,7,0.0000,0.0000,94.2545,0.0000
0,0,0,0,0,0,ele14,238.2100,37.4050,236.8255,3.4550,34.6086,1.0530,0.2610,0.0090,0,0,0,0,0,-1.0000,-1.0000,8,0.0000,0.0000,1.7839,0.0000
0,0,0,0,0,0,New Block,238.1117,37.4300,223.5353,0.0000,27.2123,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,9,0.0000,0.0000,0.9303,0.0000
0,0,0,0,0,0,New Block,241.9285,35.5274,64.3329,0.0000,-36.0139,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,10,0.0000,0.0000,3.2626,0.0000
0,0,0,0,0,0,New Block,242.2909,36.2924,62.9869,0.0000,-38.9285,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,11,0.0000,0.0000,1.7269,0.0000
0,0,0,0,0,0,New Block,240.2681,34.1025,62.2621,0.0000,-34.7614,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,12,0.0000,0.0000,14.4637,0.0000
0,0,0,0,0,0,New Block,241.5727,33.9530,61.5942,0.0000,-34.3442,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,13,0.0000,0.0000,91.0703,0.0000
0,0,0,0,0,0,New Block,241.5535,33.6053,238.9977,0.0000,29.4144,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,14,0.0000,0.0000,6.7090,0.0000
0,0,0,0,0,0,SanDiego,242.9240,32.3840,237.9101,2.5160,35.0291,1.2150,0.4060,0.0070,0,0,0,0,0,-1.0000,-1.0000,15,0.0000,0.0000,30.6745,0.0000
0,0,0,0,0,0,New Block,241.9051,33.8162,62.5900,0.0000,-33.7312,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,16,0.0000,0.0000,281.2281,0.0000
0,0,0,0,0,0,New Block,242.6948,36.1930,242.2337,0.0000,35.5644,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,17,0.0000,0.0000,3.7825,0.0000
0,0,0,0,0,0,NorthAmerica,254.0070,38.0010,299.5525,0.1980,39.5456,0.1540,0.1930,0.0010,0,0,0,0,0,-1.0000,-1.0000,18,0.0000,0.0000,0.1045,0.0000
0,0,0,0,0,0,New Block,243.7606,35.2381,244.4075,0.0000,35.7908,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,19,0.0000,0.0000,5.5658,0.0000
0,0,0,0,0,0,New Block,242.8652,35.3905,70.3211,0.0000,-32.0403,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,20,0.0000,0.0000,2.9187,0.0000
0,0,0,0,0,0,ele40,235.3130,41.2560,61.5218,0.6010,-41.0079,0.5880,0.2380,0.0130,0,0,0,0,0,-1.0000,-1.0000,21,0.0000,0.0000,2.4343,0.0000
0,0,0,0,0,0,New Block,237.4837,38.3878,227.2402,0.0000,28.4616,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,22,0.0000,0.0000,0.8010,0.0000
0,0,0,0,0,0,ele24,236.4070,39.0670,214.4060,2.8110,18.0928,1.4820,0.2950,0.0070,0,0,0,0,0,-1.0000,-1.0000,23,0.0000,0.0000,0.5289,0.0000
0,0,0,0,0,0,ele37,241.6120,38.3800,238.4769,1.0760,37.7214,2.2140,0.2190,0.0130,0,0,0,0,0,-1.0000,-1.0000,24,0.0000,0.0000,3.2553,0.0000
0,0,0,0,0,0,New Block,243.5161,35.2830,243.4345,0.0000,35.2413,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,25,0.0000,0.0000,257.7680,0.0000
0,0,0,0,0,0,New Block,243.3953,35.2090,243.5924,0.0000,35.2494,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,26,0.0000,0.0000,128.6254,0.0000
0,0,0,0,0,0,New Block,243.3376,34.7205,243.3067,0.0000,34.7206,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,27,0.0000,0.0000,355.8473,0.0000
0,0,0,0,0,0,newblock28,242.5830,35.3300,62.0110,4.5950,-35.1499,2.6170,0.2140,0.0120,0,0,0,0,0,-1.0000,-1.0000,28,0.0000,0.0000,41.4642,0.0000
0,0,0,0,0,0,newblock24,244.2250,33.1920,66.9219,3.2650,-30.4852,1.7500,0.2730,0.0090,0,0,0,0,0,-1.0000,-1.0000,29,0.0000,0.0000,34.5649,0.0000
0,0,0,0,0,0,New Block,244.3346,33.0174,244.5390,0.0000,32.8382,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,30,0.0000,0.0000,222.1549,0.0000
0,0,0,0,0,0,New Block,244.4924,32.9419,244.5668,0.0000,32.8330,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,31,0.0000,0.0000,129.3587,0.0000
0,0,0,0,0,0,New Block,243.5299,34.0178,63.6765,0.0000,-33.8106,0.0000,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,32,0.0000,0.0000,192.8426,0.0000
