name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,create_ribbon_mesh,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,mesh_file_index,mesh_flag,patch_slip_file,patch_slip_flag,ss_rate_bound_flag,ss_rate_bound_min,ss_rate_bound_max,ds_rate_bound_flag,ds_rate_bound_min,ds_rate_bound_max,ts_rate_bound_flag,ts_rate_bound_min,ts_rate_bound_max,x1,y1,z1,x2,y2,z2,length,azimuth,mid_lon_plate_carree,mid_lat_plate_carree,mid_lon,mid_lat,mid_x,mid_y,mid_z,centroid_x,centroid_y,centroid_z,centroid_lon,centroid_lat,west_labels,east_labels,model_strike_slip_rate,model_dip_slip_rate,model_tensile_slip_rate,model_strike_slip_rate_uncertainty,model_dip_slip_rate_uncertainty,model_tensile_slip_rate_uncertainty
nshm23_348_Big_Valley_unnamed__000,238.9660,41.0060,238.9820,40.9150,90.0000,0,0,0,0,0,0,0,90,0,15.0000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2477270.6763,-4117334.4229,4177922.7743,-2479537.0438,-4123707.5824,4170285.7557,10195.2068,172.4028,238.9740,40.9605,238.9740,40.9605,-2478404.6500,-4120522.3126,4174105.6196,-2478404.6500,-4120522.3126,7.5000,238.9740,40.9605,1,0,-4.2433,0.0000,6.3373,,,
nshm23_348_Big_Valley_unnamed__001,238.9510,41.0980,238.9660,41.0060,90.0000,0,0,0,0,0,0,0,90,0,15.0000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2474885.2627,-4110933.0771,4185633.0027,-2477270.6763,-4117334.4229,4177922.7743,10294.5792,172.9590,238.9585,41.0520,238.9585,41.0520,-2476078.7740,-4114135.0836,4181779.2721,-2476078.7740,-4114135.0836,7.5000,238.9585,41.0520,1,0,-4.1811,0.0000,6.2323,,,
nshm23_705_San_Andreas_Mojave__000,241.1100,34.8080,241.2330,34.7730,90.0000,0,0,0,0,0,0,0,90,0,15.0000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2525856.8481,-4577469.8718,3634717.0752,-2517092.3872,-4584827.1595,3631522.7238,11907.8035,108.9954,241.1715,34.7905,241.1715,34.7905,-2521475.7167,-4581150.5013,3633121.4892,-2521475.7167,-4581150.5013,7.5000,241.1715,34.7905,3,2,-35.7374,0.0000,-18.4779,,,
nshm23_705_San_Andreas_Mojave__001,241.2330,34.7730,241.3620,34.7360,90.0000,0,0,0,0,0,0,0,90,0,15.0000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2517092.3872,-4584827.1595,3631522.7238,-2507886.8333,-4592539.9904,3628144.3644,12504.1327,109.1266,241.2975,34.7545,241.2975,34.7545,-2512490.8179,-4588685.7681,3629835.2955,-2512490.8179,-4588685.7681,7.5000,241.2975,34.7545,3,2,-35.7629,0.0000,-14.2311,,,
nshm23_705_San_Andreas_Mojave__002,241.3620,34.7360,241.4910,34.6990,90.0000,0,0,0,0,0,0,0,90,0,15.0000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2507886.8333,-4592539.9904,3628144.3644,-2498658.2612,-4600232.6824,3624764.4921,12509.0986,109.1186,241.4265,34.7175,241.4265,34.7175,-2503273.7515,-4596388.5350,3626456.1795,-2503273.7515,-4596388.5350,7.5000,241.4265,34.7175,3,2,-35.7546,0.0000,-9.9684,,,
nshm23_265_Santa_Susana_east_c_000,241.5430,34.3290,241.5850,34.3020,90.0000,0,0,0,0,0,0,0,125,0,15.0000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,10.0000,1,-3,3,-2505583.8553,-4622981.8588,3590882.8634,-2502999.3055,-4626305.0906,3588404.5406,4890.2405,127.7555,241.5640,34.3155,241.5640,34.3155,-2504291.7652,-4624643.8130,3589643.9683,-2504291.7652,-4624643.8130,7.5000,241.5640,34.3155,5,4,-68.3517,0.0000,2.9999,,,
nshm23_704_San_Andreas_Mojave__000,241.4910,34.6990,241.6260,34.6480,90.0000,0,0,0,0,0,0,0,90,0,13.1000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2498658.2612,-4600232.6824,3624764.4921,-2489344.6049,-4608944.2611,3620103.2717,13604.8415,114.5349,241.5585,34.6735,241.5585,34.6735,-2494002.8540,-4604591.0772,3622435.9535,-2494002.8540,-4604591.0772,6.5500,241.5585,34.6735,3,2,-36.3365,0.0000,-2.1018,,,
nshm23_704_San_Andreas_Mojave__001,241.6260,34.6480,241.7610,34.5980,90.0000,0,0,0,0,0,0,0,90,0,13.1000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2489344.6049,-4608944.2611,3620103.2717,-2479971.9389,-4617578.2253,3615530.6633,13565.9134,114.0955,241.6935,34.6230,241.6935,34.6230,-2484659.6794,-4613263.8387,3617819.0245,-2484659.6794,-4613263.8387,6.5500,241.6935,34.6230,3,2,-36.3484,0.0000,2.2579,,,
nshm23_704_San_Andreas_Mojave__002,241.7610,34.5980,241.8960,34.5480,90.0000,0,0,0,0,0,0,0,90,0,13.1000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2479971.9389,-4617578.2253,3615530.6633,-2470570.5177,-4626190.0727,3610955.3015,13572.6673,114.0825,241.8285,34.5730,241.8285,34.5730,-2475272.6319,-4621886.7520,3613245.0388,-2475272.6319,-4621886.7520,6.5500,241.8285,34.5730,3,2,-36.3666,0.0000,6.8824,,,
nshm23_704_San_Andreas_Mojave__003,241.8960,34.5480,242.0130,34.5000,90.0000,0,0,0,0,0,0,0,90,0,13.1000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,1,-39.0000,-36.0000,0,0.0000,0.0000,0,0,0,-2470570.5177,-4626190.0727,3610955.3015,-2462537.2619,-4633895.1233,3606560.3671,11989.4760,116.3337,241.9545,34.5240,241.9545,34.5240,-2466554.9818,-4630044.6329,3608759.4379,-2466554.9818,-4630044.6329,6.5500,241.9545,34.5240,3,2,-36.0000,0.0000,12.6689,,,
