lon,lat,corr,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,block_label,other1,depth,x,y,z,model_east_vel,model_north_vel,model_east_vel_residual,model_north_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate,model_east_vel_mogi,model_north_vel_mogi
244.2650,33.4410,0.0000,xu_2021,-7.7644,3.6856,1.0265,1.0265,1.0000,-4.2712,1.0265,0.0000,0.0000,0.0000,18,,0.0000,-2307101.5054,-4786318.3153,3508958.6903,-169.1838,-168.2800,-161.4193,-171.9656,3.3605,-7.3631,165.3780,153.5264,7.1663,7.3905,0.0000,0.0000,0.0000,0.0000
236.8210,38.8610,0.0000,xu_2021,-23.4682,26.5541,0.9655,0.9655,1.0000,6.2760,0.9655,0.0000,0.0000,0.0000,23,,0.0000,-2713374.7288,-4149790.0115,3995146.0427,-21.2801,22.8103,2.1882,-3.7438,-18.1949,21.3063,-0.1101,-1.4065,3.1953,-0.0974,0.0000,0.0000,0.0000,0.0000
243.8310,34.8810,0.0000,xu_2021,-4.6340,2.0474,0.9266,0.9266,1.0000,-1.0237,0.9266,0.0000,0.0000,0.0000,18,,0.0000,-2303660.6220,-4688057.7804,3641375.2138,-12.2764,-12.5122,-7.6424,-14.5596,3.1821,-7.4016,8.8901,-1.9796,6.5684,7.0902,0.0000,0.0000,0.0000,0.0000
237.3130,38.6890,0.0000,xu_2021,-18.3709,17.7180,1.0679,1.0679,1.0000,1.6274,1.0679,0.0000,0.0000,0.0000,22,,0.0000,-2684105.6958,-4183011.6706,3980243.8919,-18.2664,17.5309,0.1045,-0.1871,-15.0513,13.6871,0.4535,-3.0618,2.7616,-0.7820,0.0000,0.0000,0.0000,0.0000
237.6330,39.0950,0.0000,xu_2021,-12.4022,5.5638,1.2291,1.2291,1.0000,1.1797,1.2291,0.0000,0.0000,0.0000,1,,0.0000,-2645536.1141,-4174009.7780,4015362.0638,-12.3750,8.8520,0.0272,3.2882,-8.0489,7.8273,0.9984,-1.8920,3.3278,0.8673,0.0000,0.0000,0.0000,0.0000
240.9710,35.0190,0.0000,xu_2021,-18.2064,17.8494,0.8797,0.8797,1.0000,0.4376,0.8797,0.0000,0.0000,0.0000,1,,0.0000,-2530441.9114,-4559593.8642,3653945.6740,-18.8184,14.0865,-0.6121,-3.7629,-12.1998,5.3179,0.2566,-10.3037,6.3620,1.5351,0.0000,0.0000,0.0000,0.0000
239.3770,36.0290,0.0000,xu_2021,-24.4382,30.0308,1.0303,1.0303,1.0000,-1.4100,1.0303,0.0000,0.0000,0.0000,57,,0.0000,-2623075.5755,-4431317.7395,3745296.9279,-23.3527,31.0348,1.0855,1.0040,-28.9268,34.0536,0.3519,-0.1055,-5.9261,3.1243,0.0000,0.0000,0.0000,0.0000
241.9950,34.0230,0.0000,xu_2021,-26.6174,25.2660,0.9831,0.9831,1.0000,-5.4581,0.9831,0.0000,0.0000,0.0000,61,,0.0000,-2478005.7600,-4659470.0349,3562748.6451,-47.6397,-1.5822,-21.0223,-26.8482,63.2720,60.3473,103.6141,55.6113,7.2977,6.3182,0.0000,0.0000,0.0000,0.0000
242.7970,33.6410,0.0000,xu_2021,-27.0099,26.8607,0.9979,0.9979,1.0000,1.4476,0.9979,0.0000,0.0000,0.0000,45,,0.0000,-2423349.0527,-4714720.0532,3527484.3232,67.8519,148.8022,94.8618,121.9415,170.9385,155.1456,95.6251,-1.0578,7.4615,7.4012,0.0000,0.0000,0.0000,0.0000
239.5110,35.2310,0.0000,xu_2021,-29.0219,34.3349,1.0917,1.0917,1.0000,1.2551,1.0917,0.0000,0.0000,0.0000,58,,0.0000,-2638916.7812,-4481959.1257,3673215.4959,-28.7080,33.7309,0.3140,-0.6040,-25.6309,33.5775,4.0222,1.0387,-0.9452,-1.1921,0.0000,0.0000,0.0000,0.0000
243.5590,34.5750,0.0000,xu_2021,-7.6601,7.2649,0.9877,0.9877,1.0000,-0.8338,0.9877,0.0000,0.0000,0.0000,34,,0.0000,-2334516.4782,-4694415.2319,3613426.3386,-4.9839,2.3971,2.6762,-4.8677,-163.8538,-47.4529,-166.1621,-57.4288,7.2922,7.5787,0.0000,0.0000,0.0000,0.0000
238.7050,36.5390,0.0000,xu_2021,-27.6678,33.9258,1.1233,1.1233,1.0000,-2.8464,1.1233,0.0000,0.0000,0.0000,57,,0.0000,-2657444.4294,-4371587.6007,3790984.3598,-26.6501,28.3278,1.0177,-5.5980,-32.7577,30.0066,-1.8138,4.0758,-4.2939,-2.3970,0.0000,0.0000,0.0000,0.0000
244.5530,33.7790,0.0000,xu_2021,-6.0756,-0.1632,1.2107,1.2107,1.0000,2.1288,1.2107,0.0000,0.0000,0.0000,18,,0.0000,-2274079.7938,-4779079.3459,3540241.9633,6.6101,-0.1780,12.6856,-0.0147,3.2908,-7.3374,-9.4600,-13.9084,6.1407,6.7490,0.0000,0.0000,0.0000,0.0000
239.4450,34.5910,0.0000,xu_2021,-21.7856,30.0753,0.9953,0.9953,1.0000,-3.7633,0.9953,0.0000,0.0000,0.0000,87,,0.0000,-2664770.8237,-4513969.0068,3614890.2783,-31.3959,33.5809,-9.6103,3.5056,-17.9279,23.8382,10.6143,-9.9112,2.8536,0.1685,0.0000,0.0000,0.0000,0.0000
243.7710,33.9790,0.0000,xu_2021,-8.5439,8.8209,1.0926,1.0926,1.0000,0.9116,1.0926,0.0000,0.0000,0.0000,18,,0.0000,-2333617.2258,-4736483.2141,3558694.8265,-66.7939,-72.0172,-58.2500,-80.8381,3.3177,-7.4068,62.7098,56.9530,7.4019,7.6574,0.0000,0.0000,0.0000,0.0000
243.5050,33.2990,0.0000,xu_2021,-21.4048,23.1770,1.1527,1.1527,1.0000,0.8930,1.1527,0.0000,0.0000,0.0000,45,,0.0000,-2374257.2048,-4763064.1098,3495779.5229,279.0702,306.3966,300.4750,283.2197,199.2742,200.7232,-87.3678,-113.3490,7.5717,7.6756,0.0000,0.0000,0.0000,0.0000
239.5870,35.9090,0.0000,xu_2021,-15.9997,21.6871,1.1788,1.1788,1.0000,2.4699,1.1788,0.0000,0.0000,0.0000,1,,0.0000,-2610781.5755,-4447657.0528,3734503.6842,-18.5250,19.7654,-2.5253,-1.9217,-11.3279,6.3610,0.3329,0.0709,6.8641,-13.4754,0.0000,0.0000,0.0000,0.0000
242.7850,34.6790,0.0000,xu_2021,-11.6233,12.9166,0.8575,0.8575,1.0000,0.6437,0.8575,0.0000,0.0000,0.0000,2,,0.0000,-2394714.1572,-4656610.7580,3622936.9046,-26.4788,-11.1545,-14.8555,-24.0711,-12.9533,-21.9249,6.0004,-18.1769,7.5250,7.4065,0.0000,0.0000,0.0000,0.0000
237.3470,39.2210,0.0000,xu_2021,-15.3511,4.9779,1.0340,1.0340,1.0000,-0.5635,1.0340,0.0000,0.0000,0.0000,1,,0.0000,-2661567.4306,-4153307.5541,4026219.8940,-13.1364,10.4302,2.2147,5.4522,-7.9380,8.0411,1.5259,-3.4037,3.6724,1.0147,0.0000,0.0000,0.0000,0.0000
243.2790,35.4890,0.0000,xu_2021,-5.2211,4.8380,1.1381,1.1381,1.0000,0.5300,1.1381,0.0000,0.0000,0.0000,20,,0.0000,-2331212.1613,-4630870.3090,3696598.6396,0.2811,12.0698,5.5022,7.2318,18.3075,33.7090,11.6096,15.1980,6.4167,6.4412,0.0000,0.0000,0.0000,0.0000
241.8030,35.3830,0.0000,xu_2021,-11.0523,11.8941,0.6441,0.6441,1.0000,-2.5022,0.6441,0.0000,0.0000,0.0000,10,,0.0000,-2452948.8151,-4575305.4253,3687000.6561,-8.4594,8.8582,2.5930,-3.0359,-4.1577,12.9458,-0.7422,0.3779,5.0439,3.7097,0.0000,0.0000,0.0000,0.0000
240.6630,35.1270,0.0000,xu_2021,-19.4130,18.7643,1.2987,1.2987,1.0000,-0.8781,1.2987,0.0000,0.0000,0.0000,1,,0.0000,-2551536.8001,-4539913.0772,3663768.6432,-17.2426,15.9304,2.1704,-2.8339,-12.1009,5.5503,-1.7085,-8.5924,6.8502,-1.7877,0.0000,0.0000,0.0000,0.0000
239.4550,36.1270,0.0000,xu_2021,-10.1147,14.0116,0.9811,0.9811,1.0000,-1.6165,0.9811,0.0000,0.0000,0.0000,1,,0.0000,-2613781.0700,-4429361.0132,3754099.2254,-14.5035,14.6567,-4.3888,0.6451,-11.1028,6.4603,0.3049,-0.2078,3.0958,-7.9886,0.0000,0.0000,0.0000,0.0000
243.4910,33.7590,0.0000,xu_2021,-13.6446,17.7677,1.0739,1.0739,1.0000,-1.1811,1.0739,0.0000,0.0000,0.0000,64,,0.0000,-2362817.6527,-4737215.4241,3538394.3007,40.3093,68.2628,53.9538,50.4950,157.7281,184.2929,109.8030,108.2810,7.6159,7.7492,0.0000,0.0000,0.0000,0.0000
240.6590,34.8810,0.0000,xu_2021,-20.2761,22.7893,0.9781,0.9781,1.0000,0.0688,0.9781,0.0000,0.0000,0.0000,58,,0.0000,-2559538.2047,-4553405.5599,3641375.2138,-25.2488,22.3562,-4.9727,-0.4331,-23.9878,37.1816,-3.9297,11.9948,5.1907,2.8305,0.0000,0.0000,0.0000,0.0000
245.0210,32.9570,0.0000,xu_2021,-7.8889,-2.0491,0.9121,0.9121,1.0000,2.1579,0.9121,0.0000,0.0000,0.0000,18,,0.0000,-2256185.5373,-4843039.0765,3463950.1709,9.8875,6.2052,17.7764,8.2543,3.3782,-7.2952,-13.0680,-19.9999,6.5587,6.4995,0.0000,0.0000,0.0000,0.0000
240.3050,35.0830,0.0000,xu_2021,-22.2893,26.7669,1.0431,1.0431,1.0000,3.2526,1.0431,0.0000,0.0000,0.0000,83,,0.0000,-2581246.4854,-4526324.5918,3659768.2622,-22.7016,28.6879,-0.4123,1.9210,-38.2783,30.0227,-8.1456,-2.9018,-7.4311,4.2366,0.0000,0.0000,0.0000,0.0000
237.7290,39.7190,0.0000,xu_2021,-11.5612,5.7201,1.3171,1.3171,1.0000,-2.0521,1.3171,0.0000,0.0000,0.0000,1,,0.0000,-2615033.8640,-4141213.7503,4068943.1092,-12.2389,6.0657,-0.6777,0.3456,-7.3673,7.7554,0.4161,-0.7965,4.4555,2.4863,0.0000,0.0000,0.0000,0.0000
237.5290,38.3610,0.0000,xu_2021,-21.5316,18.9170,0.9812,0.9812,1.0000,-1.3938,0.9812,0.0000,0.0000,0.0000,22,,0.0000,-2680506.2652,-4212255.3420,3951726.5287,-14.9519,18.4204,6.5797,-0.4966,-14.5225,13.9775,-2.1323,-3.4139,2.5616,-1.0290,0.0000,0.0000,0.0000,0.0000
243.8410,33.5230,0.0000,xu_2021,-17.3558,15.7064,1.1884,1.1884,1.0000,-2.6431,1.1884,0.0000,0.0000,0.0000,64,,0.0000,-2340241.3257,-4764601.9874,3516559.3839,60.1977,78.5346,77.5535,62.8282,188.7462,221.1571,121.0489,134.9592,7.4997,7.6634,0.0000,0.0000,0.0000,0.0000
242.1330,34.9630,0.0000,xu_2021,-8.9997,14.3115,1.1329,1.1329,1.0000,5.8774,1.1329,0.0000,0.0000,0.0000,2,,0.0000,-2439124.1390,-4613126.8390,3648847.1691,-11.4611,4.6531,-2.4614,-9.6584,-0.2960,1.7641,4.3929,-8.7936,6.7723,5.9046,0.0000,0.0000,0.0000,0.0000
242.6010,33.6950,0.0000,xu_2021,-25.6827,26.5204,1.1076,1.1076,1.0000,1.2030,1.1076,0.0000,0.0000,0.0000,15,,0.0000,-2437932.1694,-4703448.8549,3532478.8844,63.5506,127.6894,89.2332,101.1689,84.5555,228.2840,13.6209,93.4162,7.3840,7.1784,0.0000,0.0000,0.0000,0.0000
243.3150,33.3010,0.0000,xu_2021,-24.3786,25.1906,1.0748,1.0748,1.0000,0.6165,1.0748,0.0000,0.0000,0.0000,41,,0.0000,-2389984.2387,-4755055.5687,3495965.2942,454.4517,565.5423,478.8303,540.3517,292.0630,434.7383,-169.9127,-138.4406,7.5240,7.6366,0.0000,0.0000,0.0000,0.0000
237.3030,38.5070,0.0000,xu_2021,-15.3885,19.9730,1.0250,1.0250,1.0000,5.2690,1.0250,0.0000,0.0000,0.0000,23,,0.0000,-2691652.0034,-4193161.8048,3964436.2819,-20.1706,21.3580,-4.7820,1.3850,-17.7625,21.7401,-0.1547,1.6230,2.5628,-1.2409,0.0000,0.0000,0.0000,0.0000
237.7130,39.4650,0.0000,xu_2021,-12.0738,5.4424,1.2311,1.2311,1.0000,8.9283,1.2311,0.0000,0.0000,0.0000,1,,0.0000,-2625799.7518,-4155691.7691,4047190.7597,-12.1959,6.8107,-0.1221,1.3683,-7.6429,7.7674,0.5276,-1.0193,4.0255,1.9759,0.0000,0.0000,0.0000,0.0000
243.0310,32.5570,0.0000,xu_2021,-25.8194,28.0164,1.0662,1.0662,1.0000,-0.9165,1.0662,0.0000,0.0000,0.0000,15,,0.0000,-2433907.7340,-4783208.9270,3426566.3519,89.2663,204.0531,115.0858,176.0367,153.0334,249.1567,57.1091,38.2349,6.6580,6.8688,0.0000,0.0000,0.0000,0.0000
243.6830,33.2070,0.0000,xu_2021,-24.1230,23.8599,1.1254,1.1254,1.0000,-0.9662,1.1254,0.0000,0.0000,0.0000,45,,0.0000,-2361933.9161,-4775442.4371,3487229.4400,229.2721,242.1434,253.3951,218.2834,206.9191,212.1775,-29.9162,-37.6172,7.5632,7.6512,0.0000,0.0000,0.0000,0.0000
243.5930,35.5550,0.0000,xu_2021,-8.7330,0.2627,1.0329,1.0329,1.0000,1.4792,1.0329,0.0000,0.0000,0.0000,20,,0.0000,-2303903.2350,-4639759.5773,3702568.3532,-0.3033,1.6655,8.4298,1.4028,18.7835,32.2130,13.2312,24.3890,5.8556,6.1585,0.0000,0.0000,0.0000,0.0000
240.8830,34.9670,0.0000,xu_2021,-21.5833,20.2804,0.9383,0.9383,1.0000,-0.2762,0.9383,0.0000,0.0000,0.0000,68,,0.0000,-2539054.5650,-4558597.2701,3649211.4637,-18.2878,22.4008,3.2955,2.1204,-29.1502,7.5071,-17.6670,-16.2367,6.8046,1.3430,0.0000,0.0000,0.0000,0.0000
238.3930,36.4770,0.0000,xu_2021,-23.5318,31.9487,1.0994,1.0994,1.0000,0.3304,1.0994,0.0000,0.0000,0.0000,58,,0.0000,-2683358.4465,-4360543.1113,3785446.1671,-27.0556,31.8621,-3.5237,-0.0865,-30.3982,30.0546,-0.6972,0.0922,-2.6454,-1.8997,0.0000,0.0000,0.0000,0.0000
240.8350,35.0710,0.0000,xu_2021,-20.7866,18.5293,1.2723,1.2723,1.0000,2.1677,1.2723,0.0000,0.0000,0.0000,1,,0.0000,-2539640.5168,-4550676.9864,3658676.8745,-18.3682,15.6963,2.4183,-2.8331,-12.1514,5.4205,-0.6368,-11.1253,6.8536,0.8496,0.0000,0.0000,0.0000,0.0000
243.7230,32.8890,0.0000,xu_2021,-26.4717,27.0202,1.1354,1.1354,1.0000,0.1581,1.1354,0.0000,0.0000,0.0000,15,,0.0000,-2367131.5976,-4794371.1578,3457606.7824,119.9727,297.9678,146.4444,270.9476,135.0948,282.7174,7.6190,-22.7616,7.5031,7.5112,0.0000,0.0000,0.0000,0.0000
