lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,depth,x,y,z,block_label,model_east_vel,model_north_vel,model_east_vel_residual,model_north_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate,model_east_vel_mogi,model_north_vel_mogi
106.0100,51.1700,-0.0060,0,UDUN_GEC,9.6300,-6.8300,1.1400,1.1500,1,0,1,0,0,0,0.0000,-1101141.7080,3837609.4791,4960301.5923,5,8.3420,-7.7431,-1.2880,0,8.6240,-7.9092,0.1844,-0.0923,0.0966,-0.0732,0.0000,0.0000,-0.0010,0.0006
107.8200,22.3260,0.0020,0,F062_GPS,26.5830,-8.6560,1.7000,1.6000,1,0,1,0,0,0,0.0000,-1802540.9589,5607531.9425,2418839.1983,4,26.3945,-7.7653,-0.1885,0,25.4618,-7.2228,-0.9707,0.5429,0.0374,-0.0007,0.0000,0.0000,-0.0006,-0.0003
108.1690,23.7500,-0.0040,0,F059_GPS,26.8330,-9.4230,1.7000,1.7000,1,0,1,0,0,0,0.0000,-1817353.0015,5537606.6319,2564467.2585,12,26.4561,-9.0630,-0.3769,0,25.8718,-8.6611,-0.6275,0.4033,0.0426,-0.0017,0.0000,0.0000,-0.0007,-0.0003
108.2960,23.1490,0.0000,0,F060_GPS,24.4800,-7.8110,1.8000,1.7000,1,0,1,0,0,0,0.0000,-1837966.7508,5558799.7973,2503192.8607,4,25.8472,-7.5897,1.3672,0,25.1269,-7.1377,-0.7615,0.4528,0.0405,-0.0011,0.0000,0.0000,-0.0007,-0.0003
109.1060,33.6580,-0.0030,0,F054_GPS,21.2100,-8.1360,1.6000,1.6000,1,0,1,0,0,0,0.0000,-1734782.6502,5008057.2226,3529057.0232,4,20.5000,-7.0049,-0.7100,0,20.6522,-6.9917,0.0539,0.0352,0.0971,-0.0221,0.0000,0.0000,-0.0011,-0.0001
109.2600,22.4110,0.0380,0,F063_GPS,25.3110,-7.9220,1.7000,1.6000,1,0,1,0,0,0,0.0000,-1941703.7126,5557069.2982,2427574.7092,4,26.3307,-7.4861,1.0197,0,25.3619,-6.9638,-1.0081,0.5222,0.0386,-0.0002,0.0000,0.0000,-0.0007,-0.0003
109.9230,33.8800,0.0150,0,D078_GPS,20.2470,-7.1620,1.6000,1.6000,1,0,1,0,0,0,0.0000,-1801342.4727,4969919.2658,3549566.0649,4,20.3250,-6.8420,0.0780,0,20.4954,-6.8430,0.0660,0.0224,0.1032,-0.0236,0.0000,0.0000,-0.0012,-0.0001
109.9660,41.7550,0.0810,0,HB04_GUA,12.9800,-3.1200,1.7200,1.5500,1,0,1,0,0,0,0.0000,-1621983.9039,4464605.6865,4240379.1978,4,16.3845,-6.7344,3.4045,0,16.6844,-6.8351,0.1600,-0.0380,0.1385,-0.0625,0.0000,0.0000,-0.0014,0.0003
110.1410,22.6880,0.0110,0,F049_GPS,25.2420,-8.1420,1.7000,1.6000,1,0,1,0,0,0,0.0000,-2022853.4187,5515474.1266,2456005.0218,12,26.9968,-8.9385,1.7548,0,26.0867,-8.4489,-0.9510,0.4893,0.0402,-0.0001,0.0000,0.0000,-0.0007,-0.0004
110.5550,27.9110,-0.0220,0,F057_GPS,22.7720,-7.8050,1.7000,1.6000,1,0,1,0,0,0,0.0000,-1975590.0347,5268532.4292,2980597.5104,12,24.3588,-8.5151,1.5868,0,24.3342,-8.4030,-0.0919,0.1179,0.0663,-0.0061,0.0000,0.0000,-0.0010,-0.0003
111.4750,33.2800,-0.0180,0,C060_GPS,21.1530,-8.1250,1.7000,1.6000,1,0,1,0,0,0,0.0000,-1948789.6885,4953628.2669,3494014.4827,4,20.4870,-6.5408,-0.6660,0,20.6710,-6.5568,0.0742,0.0060,0.1085,-0.0222,0.0000,0.0000,-0.0013,-0.0002
