lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,strike_slip_rate,dip_slip_rate
138.502,34.7673,-10.0,138.587,34.6788,0.0,138.614,34.8131,0.0,-3.315021824726885,17.652621922968464
138.542,34.8993,-10.0,138.502,34.7673,-10.0,138.614,34.8131,0.0,-4.235571905692458,17.58461010418196
138.542,34.8993,-10.0,138.614,34.8131,0.0,138.639,34.948,0.0,-3.073056889194273,16.791317935354453
138.557,35.035,-10.0,138.542,34.8993,-10.0,138.639,34.948,0.0,-2.8047375985764647,18.061236367367123
138.563,35.171,-10.0,138.557,35.035,-10.0,138.638,35.084,0.0,-0.16652501079334048,19.205360007231647
138.557,35.035,-10.0,138.639,34.948,0.0,138.638,35.084,0.0,-1.3832774978104019,17.664593623815776
138.502,34.7673,-10.0,138.462,34.6355,-10.0,138.587,34.6788,0.0,-4.0281260112640584,19.507279242881896
138.576,34.5441,0.0,138.587,34.6788,0.0,138.462,34.6355,-10.0,-2.2619982123582782,21.175629136592867
137.732,33.52,-1.3620874,137.615,33.4789,-2.2460146,137.752,33.3999,0.0,-23.12791947965129,32.946990737012854
132.719,31.497,-7.7317186,132.811,31.3955,-5.7539373,132.849,31.519,-6.4555701,23.947948102246137,-11.27106085641854
137.752,33.3999,0.0,137.812,33.4708,0.0,137.732,33.52,-1.3620874,-22.12269012839827,30.92035537305737
137.812,33.4708,0.0,137.899,33.5512,0.0,137.732,33.52,-1.3620874,-21.81379868431618,30.573324678095506
132.41,30.5381,-5.1652348,132.33,30.4195,-6.6666667,132.483,30.4028,-3.3333333,6.688063984386267,-19.33286898323773
132.756,31.6229,-8.4927546,132.695,31.7015,-10.0,132.592,31.5976,-10.0,29.524534238945023,-7.204651244036175
132.719,31.497,-7.7317186,132.756,31.6229,-8.4927546,132.592,31.5976,-10.0,28.09392505635869,-11.688446346917718
137.615,33.4789,-2.2460146,137.732,33.52,-1.3620874,137.612,33.6346,-4.0220501,-24.57472053409414,37.15839441066367
138.419,33.9654,0.0,138.306,33.951,-2.0562268,138.323,33.8578,0.0,-21.281352282868816,38.52519279284297
134.512,32.9285,-10.0,134.417,32.818,-10.0,134.572,32.7916,-7.9957555,12.347485868346745,49.999997078287976
132.935,31.3066,-3.4288866,132.941,31.4353,-4.6884757,132.811,31.3955,-5.7539373,22.926250028003945,-6.461491994494224
132.941,31.4353,-4.6884757,132.849,31.519,-6.4555701,132.811,31.3955,-5.7539373,23.27102664336268,-5.839063290804043
133.036,31.2431,-1.6106382,132.935,31.3066,-3.4288866,132.87,31.1848,-2.6591089,25.258493141335478,-7.8484023290507645
133.086,31.3875,-2.5477505,133.163,31.284,-0.91063035,133.262,31.3855,0.0,28.751174879651668,17.37427849065701
132.664,31.3702,-7.5482615,132.542,31.4692,-10.0,132.486,31.342,-10.0,25.46801460763205,-18.42165475764712
132.87,31.1848,-2.6591089,132.788,31.2775,-4.9254022,132.688,31.1515,-4.4547241,24.520670770018185,-18.090015797042792
132.756,31.6229,-8.4927546,132.719,31.497,-7.7317186,132.849,31.519,-6.4555701,26.248546222552225,-8.880704237722977
132.849,31.519,-6.4555701,132.876,31.6201,-7.1720434,132.756,31.6229,-8.4927546,26.988921057629707,-1.9871946810342394
132.521,31.1453,-7.043649,132.346,31.0978,-10.0,132.48,31.02,-6.7180443,22.942188791145426,-17.78582568919572
132.408,31.2235,-10.0,132.346,31.0978,-10.0,132.521,31.1453,-7.043649,21.691257943134183,-17.012483986535933
133.836,32.1868,-10.0,133.696,32.1205,-10.0,133.776,32.0479,-7.0330262,13.148062339442372,25.176854652813994
133.086,31.3875,-2.5477505,132.941,31.4353,-4.6884757,132.935,31.3066,-3.4288866,24.38357903887298,2.5707060403566047
132.935,31.3066,-3.4288866,133.036,31.2431,-1.6106382,133.086,31.3875,-2.5477505,25.703292952730337,1.6465359778279094
133.163,31.284,-0.91063035,133.086,31.3875,-2.5477505,133.036,31.2431,-1.6106382,27.608470353549365,7.810359244419942
132.962,31.0856,0.0,133.094,31.1611,0.0,133.036,31.2431,-1.6106382,28.11271085407918,-5.098173621123427
132.87,31.1848,-2.6591089,132.962,31.0856,0.0,133.036,31.2431,-1.6106382,26.86566432402786,-9.723153580409042
132.542,31.4692,-10.0,132.719,31.497,-7.7317186,132.592,31.5976,-10.0,27.801846565412518,-15.250626546503588
132.719,31.497,-7.7317186,132.664,31.3702,-7.5482615,132.811,31.3955,-5.7539373,23.60992697437167,-16.527202693565197
132.719,31.497,-7.7317186,132.542,31.4692,-10.0,132.664,31.3702,-7.5482615,25.48259120507661,-17.934274389253748
132.195,30.5715,-10.0,132.305,30.6535,-7.7626243,132.206,30.7076,-10.0,1.6699613063332706,-19.826182278817907
132.346,31.0978,-10.0,132.294,30.969,-10.0,132.48,31.02,-6.7180443,19.031502868706383,-17.42608092571636
136.382,32.8023,0.0,136.535,32.8407,0.0,136.467,32.9296,-2.3557651,-25.73043986528813,40.78685123075664
136.683,32.8966,0.0,136.826,32.9607,0.0,136.746,33.0426,-2.2961115,-21.582960456894916,49.30773847951417
132.195,30.5715,-10.0,132.297,30.5282,-7.6542833,132.305,30.6535,-7.7626243,2.130575780197324,-19.6718541086152
132.297,30.5282,-7.6542833,132.41,30.5381,-5.1652348,132.305,30.6535,-7.7626243,6.48886824197886,-19.793026266636904
132.468,30.6666,-4.3067777,132.305,30.6535,-7.7626243,132.41,30.5381,-5.1652348,11.850920744310756,-19.995405098421596
137.637,33.3413,0.0,137.752,33.3999,0.0,137.615,33.4789,-2.2460146,-23.36932306438996,33.91048836784178
132.297,30.5282,-7.6542833,132.33,30.4195,-6.6666667,132.41,30.5381,-5.1652348,4.521446476027681,-19.45101178578055
132.33,30.4195,-6.6666667,132.297,30.5282,-7.6542833,132.178,30.436,-10.0,-0.32696493972972007,-18.964481393165944
132.297,30.5282,-7.6542833,132.195,30.5715,-10.0,132.178,30.436,-10.0,-2.206018875805718,-19.129446537261188
132.788,31.2775,-4.9254022,132.935,31.3066,-3.4288866,132.811,31.3955,-5.7539373,22.734796351443556,-12.629407026275054
132.935,31.3066,-3.4288866,132.788,31.2775,-4.9254022,132.87,31.1848,-2.6591089,23.879603012508515,-13.265717229027704
132.664,31.3702,-7.5482615,132.788,31.2775,-4.9254022,132.811,31.3955,-5.7539373,22.706764245286728,-17.25092623261122
133.789,31.9263,-3.7056374,133.776,32.0479,-7.0330262,133.647,31.945,-5.9791631,20.684019519112397,18.075270880724204
134.458,32.5694,-7.3571455,134.476,32.6962,-8.1886388,134.339,32.699,-10.0,26.313121558988904,49.6924019511991
134.748,32.5453,-3.6769105,134.883,32.4746,-1.4920618,134.847,32.5963,-2.7409163,-8.525379568714104,20.71415612964961
136.617,32.9642,-1.8515813,136.467,32.9296,-2.3557651,136.535,32.8407,0.0,-27.013144511321492,44.83515186184462
136.683,32.8966,0.0,136.617,32.9642,-1.8515813,136.535,32.8407,0.0,-25.509938594326787,46.65959741383101
