lon,lat,east_vel,north_vel,up_vel,east_sig,north_sig,up_sig,corr,other,flag,east_adjust,north_adjust,up_adjust,name,block_label,other1,depth,x,y,z,model_east_vel,model_north_vel,model_east_vel_residual,model_north_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate
29.1642,40.2582,-17.1591,-0.0126,-27.9631,0.9821,2.0000,0.9378,0.0000,0.0000,1,0,0,0,name,0,,0.0000,4243228.4590,2367982.0316,4114854.1657,-22.2673,-1.8432,-5.1082,-1.8306,-24.2467,-0.4990,-0.9846,2.2918,-0.9948,-0.9477,0.0000,0.0000
26.8838,40.6550,-10.3052,-3.8613,-22.0388,0.7540,2.0000,0.7364,0.0000,0.0000,1,0,0,0,name,5,,0.0000,4308568.8741,2184330.1991,4148407.8030,-8.5591,-2.7084,1.7461,1.1529,0.4906,-0.6418,1.6651,3.8864,7.3846,-1.8198,0.0000,0.0000
31.6430,38.4814,-20.1081,-2.0170,-5.3139,0.5969,2.0000,0.5289,0.0000,0.0000,1,0,0,0,name,3,,0.0000,4243472.1186,2614993.5133,3962209.5812,-20.9168,1.4099,-0.8087,3.4269,-21.3044,1.9533,-0.0290,0.6753,-0.3587,-0.1318,0.0000,0.0000
29.9935,40.7001,-15.5086,-0.3736,0.1891,0.7883,2.0000,0.8004,0.0000,0.0000,1,0,0,0,name,4,,0.0000,4180899.8737,2413211.2982,4152208.9227,-12.1966,-1.8374,3.3120,-1.4638,-23.8490,0.6546,-0.0623,1.0669,-11.5901,1.4251,0.0000,0.0000
28.9750,37.5795,-26.3773,-12.4898,20.8085,0.6645,2.0000,0.6252,0.0000,0.0000,1,0,0,0,name,34,,0.0000,4414616.9093,2444544.6266,3883260.3021,-23.0078,-12.5249,3.3695,-0.0351,-23.9148,-17.9722,-0.7468,-5.3154,-0.1602,-0.1318,0.0000,0.0000
38.7276,40.0598,-9.3821,4.3627,-5.9450,0.7428,2.0000,0.6394,0.0000,0.0000,1,0,0,0,name,5,,0.0000,3801936.8015,3048933.8275,4098003.2375,-8.5504,3.4449,0.8317,-0.9178,0.8459,2.6362,-0.5519,0.4891,9.9483,-1.2978,0.0000,0.0000
26.4151,40.0327,-18.4306,-8.3792,1.4662,0.8585,2.0000,0.7933,0.0000,0.0000,1,0,0,0,name,4,,0.0000,4366389.6144,2168929.1166,4095697.7042,-18.7257,-9.8936,-0.2951,-1.5144,-21.4361,-9.3989,-2.5523,0.8132,-0.1581,-0.3185,0.0000,0.0000
32.3911,40.9076,-9.3200,-0.0373,0.0231,0.9149,2.0000,0.8211,0.0000,0.0000,1,0,0,0,name,5,,0.0000,4063561.5312,2577929.2265,4169664.2607,-6.3741,0.6767,2.9459,0.7140,0.4041,0.8876,0.0217,0.2804,6.7564,-0.0695,0.0000,0.0000
36.6455,40.6460,-11.6316,5.4490,9.2647,0.5611,2.0000,0.4943,0.0000,0.0000,1,0,0,0,name,5,,0.0000,3876355.0241,2883614.2805,4147648.9570,-12.1290,2.0050,-0.4974,-3.4440,0.5731,2.0642,1.0120,0.2676,11.6901,-0.2084,0.0000,0.0000
29.0381,39.7170,-23.2650,-4.7145,1.7788,0.6535,2.0000,0.6056,0.0000,0.0000,1,0,0,0,name,2,,0.0000,4282221.7237,2377398.1201,4068772.1427,-24.1114,-4.8376,-0.8464,-0.1231,-25.9993,-4.7584,-1.4024,0.5421,-0.4855,-0.4629,0.0000,0.0000
36.6004,40.6370,-13.3004,5.6558,4.0461,0.6051,2.0000,0.5436,0.0000,0.0000,1,0,0,0,name,5,,0.0000,3879146.6352,2880950.5551,4146890.0086,-14.0757,2.9567,-0.7753,-2.6991,0.5754,2.0517,1.1663,-0.0134,13.4849,-0.8916,0.0000,0.0000
27.7221,37.3630,-15.8006,-23.7979,-1.0339,0.7835,2.0000,0.7205,0.0000,0.0000,1,0,0,0,name,34,,0.0000,4479969.8422,2354241.5032,3864164.6729,-17.5445,-22.9032,-1.7439,0.8947,-22.1285,-25.1654,-4.4597,-2.1493,-0.1243,-0.1130,0.0000,0.0000
35.9064,40.9526,-16.1728,5.1362,-1.3842,0.9253,2.0000,0.7313,0.0000,0.0000,1,0,0,0,name,5,,0.0000,3895196.1080,2820314.8839,4173442.5475,-10.2469,5.5725,5.9259,0.4363,0.4426,1.8604,0.0660,0.1458,10.6235,-3.8579,0.0000,0.0000
32.8237,39.0045,-22.7311,5.2772,4.0548,0.4817,2.0000,0.4567,0.0000,0.0000,1,0,0,0,name,3,,0.0000,4158114.6187,2682156.9806,4007551.3983,-21.0997,2.9693,1.6314,-2.3079,-21.7667,3.1023,-0.1345,0.2777,-0.5325,-0.1448,0.0000,0.0000
27.4156,40.8444,-1.9675,-3.2284,6.9498,0.8568,2.0000,0.8465,0.0000,0.0000,1,0,0,0,name,5,,0.0000,4275912.8871,2217899.9450,4164353.5245,-1.5571,-2.3427,0.4104,0.8857,0.4165,-0.4941,1.0599,0.6581,0.9137,1.1905,0.0000,0.0000
31.7511,40.7813,-11.5304,-0.8114,-5.8103,0.8568,2.0000,0.8309,0.0000,0.0000,1,0,0,0,name,5,,0.0000,4099909.0616,2537209.5660,4159046.1366,-9.9553,-0.6959,1.5751,0.1155,0.4454,0.7100,0.0821,0.3436,10.3186,1.0624,0.0000,0.0000
36.6905,40.5648,-16.6881,6.3132,0.7789,0.6290,2.0000,0.5400,0.0000,0.0000,1,0,0,0,name,9,,0.0000,3878798.6339,2890167.0790,4140797.8548,-14.0581,3.3566,2.6300,-2.9566,-16.6908,11.0017,2.5128,-0.3947,-5.1456,8.0398,0.0000,0.0000
33.1482,40.5197,-20.1150,0.6645,4.3544,0.6338,2.0000,0.5638,0.0000,0.0000,1,0,0,0,name,3,,0.0000,4052685.9138,2646773.5268,4136989.0311,-20.6475,3.8178,-0.5325,3.1533,-23.1772,3.4179,-0.0593,0.2145,-2.4704,-0.6145,0.0000,0.0000
37.5648,39.8523,-22.4683,10.1111,8.5479,0.7166,2.0000,0.6745,0.0000,0.0000,1,0,0,0,name,8,,0.0000,3874765.4804,2980180.6641,4080326.8427,-18.9961,9.6391,3.4722,-0.4720,-22.1859,10.9755,-0.8629,0.5026,-2.3268,0.8338,0.0000,0.0000
27.2083,40.7272,-9.6040,-3.7431,10.6277,0.8255,2.0000,0.8061,0.0000,0.0000,1,0,0,0,name,5,,0.0000,4291476.1722,2206305.1017,4154491.7286,-10.6865,-2.4259,-1.0825,1.3172,0.4615,-0.5517,1.3207,0.7556,9.8272,1.1186,0.0000,0.0000
35.1673,41.0428,-13.5211,3.6751,-7.7467,0.7194,2.0000,0.7224,0.0000,0.0000,1,0,0,0,name,3,,0.0000,3925876.4813,2766047.0145,4181008.1594,-10.8848,6.7177,2.6363,3.0426,-23.5627,5.3785,-0.1112,0.3766,-12.5666,-1.7158,0.0000,0.0000
39.0250,40.0598,-4.6344,4.1020,-3.5497,0.6046,2.0000,0.6028,0.0000,0.0000,1,0,0,0,name,5,,0.0000,3786059.8320,3068627.0343,4098003.2375,-5.2253,3.5297,-0.5909,-0.5723,0.8548,2.7177,-0.2152,0.4944,6.2954,-1.3064,0.0000,0.0000
33.5178,40.7182,-21.1762,1.4808,-3.1649,0.7071,2.0000,0.6958,0.0000,0.0000,1,0,0,0,name,3,,0.0000,4023554.6595,2664930.7079,4153733.7043,-19.5284,4.1218,1.6478,2.6410,-23.3472,3.7771,-0.0580,0.2030,-3.7607,-0.5476,0.0000,0.0000
26.3971,40.2852,-17.0516,-7.3388,-14.7248,0.8118,2.0000,0.7314,0.0000,0.0000,1,0,0,0,name,4,,0.0000,4350860.8232,2159511.5939,4117143.5771,-17.3531,-7.1052,-0.3015,0.2336,-22.2800,-9.4494,-4.8296,-2.0384,-0.0974,-0.3058,0.0000,0.0000
34.8518,37.3811,-9.1491,8.7336,0.8802,1.2743,2.0000,1.2807,0.0000,0.0000,1,0,0,0,name,11,,0.0000,4152128.8839,2891375.4138,3865763.2377,-16.0273,8.9847,-6.8782,0.2511,-12.7461,2.3165,3.4966,-6.7247,-0.2154,0.0565,0.0000,0.0000
34.5543,40.8354,-15.4488,3.5297,-9.5354,0.5461,2.0000,0.5381,0.0000,0.0000,1,0,0,0,name,3,,0.0000,3967683.4434,2732453.2819,4163596.8365,-17.6434,4.1928,-2.1946,0.6631,-23.4057,4.7839,-0.1287,0.2196,-5.6336,0.3715,0.0000,0.0000
39.5749,39.5908,-14.5432,7.3978,-1.7399,0.6998,2.0000,0.6602,0.0000,0.0000,1,0,0,0,name,11,,0.0000,3782164.3437,3126088.6511,4057974.1355,-15.9613,9.1643,-1.4181,1.7665,-17.2532,11.2136,1.8656,-2.1897,-3.1575,4.2390,0.0000,0.0000
32.7156,40.6099,-18.0529,-0.5064,8.3112,0.7485,2.0000,0.7239,0.0000,0.0000,1,0,0,0,name,3,,0.0000,4067069.4436,2612576.1902,4144604.1129,-19.9390,3.9142,-1.8861,4.4206,-23.2771,2.9971,-0.0183,0.2476,-3.3198,-1.1647,0.0000,0.0000
32.8147,40.8895,-16.4535,-0.1114,1.7739,0.5888,2.0000,0.5474,0.0000,0.0000,1,0,0,0,name,3,,0.0000,4045498.2876,2608614.9824,4168143.8243,-14.0749,7.5840,2.3786,7.6954,-23.5343,3.0935,-0.0080,0.2484,-9.4513,-4.7388,0.0000,0.0000
34.9690,41.0338,-9.1759,3.4042,2.6757,0.5333,2.0000,0.4930,0.0000,0.0000,1,0,0,0,name,3,,0.0000,3935964.3389,2752819.4361,4180253.7408,-11.9146,4.8452,-2.7387,1.4410,-23.5663,5.1862,-0.1270,0.3131,-11.5247,0.0279,0.0000,0.0000
29.4527,40.8083,-1.2323,0.6048,9.0737,0.7326,2.0000,0.7220,0.0000,0.0000,1,0,0,0,name,5,,0.0000,4196655.6445,2369782.1613,4161317.7445,-5.8128,1.8640,-4.5805,1.2592,0.4250,0.0717,1.7049,1.0646,4.5329,-2.8569,0.0000,0.0000
30.4261,39.3653,-22.9497,-2.9661,4.0816,0.4662,2.0000,0.4353,0.0000,0.0000,1,0,0,0,name,3,,0.0000,4244834.2101,2493029.3756,4038630.7732,-22.3974,-0.6412,0.5523,2.3249,-22.1582,0.7682,0.7912,1.5466,-0.5521,-0.1372,0.0000,0.0000
32.2018,40.4386,-19.8152,-0.9409,2.8107,0.5501,2.0000,0.4912,0.0000,0.0000,1,0,0,0,name,3,,0.0000,4100800.8347,2582592.0313,4130133.4573,-20.4089,3.0894,-0.5937,4.0303,-23.1332,2.4972,0.0216,0.2914,-2.7460,-0.8837,0.0000,0.0000
37.9614,39.9335,-17.3862,10.0308,6.8040,0.6536,2.0000,0.6174,0.0000,0.0000,1,0,0,0,name,8,,0.0000,3849481.0079,3003369.9729,4087250.4495,-17.8775,9.6873,-0.4913,-0.3435,-22.3058,11.7122,-0.7954,0.4866,-3.6328,1.5383,0.0000,0.0000
39.1332,39.7531,-17.2420,7.0183,-1.8224,0.6123,2.0000,0.5852,0.0000,0.0000,1,0,0,0,name,11,,0.0000,3797219.4767,3089571.7542,4071857.3259,-16.3542,9.6864,0.8878,2.6681,-17.6614,10.3838,2.4042,-2.3426,-3.7114,3.0400,0.0000,0.0000
27.4967,39.8974,-21.2099,-7.4779,-19.1399,0.7035,2.0000,0.6615,0.0000,0.0000,1,0,0,0,name,2,,0.0000,4333237.2476,2255423.3335,4084173.3562,-21.5742,-6.0599,-0.3643,1.4180,-25.7497,-4.0648,-4.0070,2.1951,-0.1685,-0.1999,0.0000,0.0000
31.8953,40.7362,-15.8049,-1.0812,-0.7791,0.6381,2.0000,0.5793,0.0000,0.0000,1,0,0,0,name,3,,0.0000,4096288.7322,2549248.9925,4155249.6505,-37.2385,0.1606,-21.4336,1.2418,-23.4192,2.1989,0.0649,0.3257,13.7544,1.7126,0.0000,0.0000
30.0295,40.7001,-16.1342,-0.4719,5.3780,0.8295,2.0000,0.8367,0.0000,0.0000,1,0,0,0,name,4,,0.0000,4179382.7831,2415837.7585,4152208.9227,-11.7176,-4.4372,4.4166,-3.9653,-23.8487,0.7558,-0.0073,1.0508,-12.1239,4.1423,0.0000,0.0000
36.6274,39.7080,-14.1483,9.5558,2.4121,0.5076,2.0000,0.4463,0.0000,0.0000,1,0,0,0,name,8,,0.0000,3931237.2699,2922512.4060,4068002.7318,-19.7094,8.1439,-5.5611,-1.4119,-21.9888,9.2324,-0.9223,0.4232,-1.3572,0.6653,0.0000,0.0000
26.9109,40.8083,-4.4029,-2.8704,8.8402,0.8990,2.0000,0.9010,0.0000,0.0000,1,0,0,0,name,5,,0.0000,4297622.3366,2181336.3662,4161317.7445,-3.7646,-2.2561,0.6383,0.6143,0.4332,-0.6343,0.9765,2.7573,3.2214,-1.1354,0.0000,0.0000
